,R_fighter,B_fighter,Referee,date,location,Winner,Title Fight,weight_class,B Rounds,B Title Fights,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_Stance,B_Weight_lbs,R Rounds,R Title Fights,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_Stance,R_Weight_lbs,B_age,R_age,R_Age Range,B_Age Range
1926,Glaico Franca Moreira,James Vick,Dan Miragliotta,4/23/2016,"Las Vegas, Nevada, USA",Blue,False,Lightweight,8,0,4,0,4,4,0,0,2,0,2,Orthodox,155,3,1,1,0,1,1,0,0,0,0,1,Orthodox,155,29.0,25.0,Young Prospect,Experienced
1927,Marcos Rogerio de Lima,Clint Hester,Dan Miragliotta,4/23/2016,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,15,0,4,0,4,4,2,0,1,1,0,Orthodox,205,3,0,2,0,2,2,1,0,0,2,0,Orthodox,253,29.0,30.0,Experienced,Experienced
1928,Efrain Escudero,Kevin Lee,Mark Smith,4/23/2016,"Las Vegas, Nevada, USA",Blue,False,Lightweight,14,0,0,1,4,4,2,0,2,0,1,Orthodox,170,29,1,2,0,2,5,6,0,3,1,1,Orthodox,155,23.0,30.0,Experienced,Young Prospect
1929,Beneil Dariush,Michael Chiesa,Dan Miragliotta,4/16/2016,"Tampa, Florida, USA",Blue,False,Lightweight,17,1,2,0,2,6,2,0,2,0,4,Southpaw,170,15,0,1,0,5,6,1,0,2,0,3,Southpaw,155,28.0,26.0,Young Prospect,Experienced
1930,Bethe Correia,Raquel Pennington,James Warring,4/16/2016,"Tampa, Florida, USA",Blue,False,WomenBantamweight,12,0,1,0,1,3,2,0,1,0,2,Orthodox,135,9,1,3,0,3,3,1,0,1,1,0,Orthodox,135,27.0,32.0,Experienced,Young Prospect
1931,Court McGee,Santiago Ponzinibbio,Herb Dean,4/16/2016,"Tampa, Florida, USA",Blue,False,Welterweight,10,0,0,1,2,3,2,0,1,2,0,Orthodox,170,26,1,3,0,3,6,3,0,3,0,2,Orthodox,170,29.0,31.0,Experienced,Experienced
1932,Randy Brown,Michael Graves,Dan Miragliotta,4/16/2016,"Tampa, Florida, USA",Blue,False,Welterweight,3,0,1,0,1,1,0,0,1,0,0,Orthodox,170,3,0,1,0,1,1,0,0,1,0,0,Orthodox,170,25.0,25.0,Young Prospect,Young Prospect
1933,Rose Namajunas,Tecia Torres,Dan Miragliotta,4/16/2016,"Tampa, Florida, USA",Red,False,WomenStrawweight,9,0,3,0,3,3,0,0,3,0,0,Orthodox,115,9,1,0,1,2,2,1,0,0,0,2,Orthodox,115,26.0,23.0,Young Prospect,Young Prospect
1934,Cub Swanson,Hacran Dias,Herb Dean,4/16/2016,"Tampa, Florida, USA",Red,False,Featherweight,15,0,1,0,2,3,2,0,2,0,0,Orthodox,155,26,0,0,1,6,6,3,0,2,4,0,Orthodox,145,31.0,32.0,Experienced,Experienced
1935,Glover Teixeira,Rashad Evans,Herb Dean,4/16/2016,"Tampa, Florida, USA",Red,False,LightHeavyweight,54,4,5,0,5,14,5,0,3,6,0,Orthodox,205,21,1,5,0,5,7,2,0,1,2,3,Orthodox,205,36.0,36.0,Experienced,Experienced
1936,John Dodson,Manvel Gamburyan,James Warring,4/16/2016,"Tampa, Florida, USA",Red,False,Bantamweight,31,1,0,1,2,6,7,0,3,0,3,Orthodox,135,22,3,3,0,3,6,2,0,2,3,0,Orthodox,135,34.0,31.0,Experienced,Experienced
1937,Oluwale Bamgbose,Cezar Ferreira,Herb Dean,4/16/2016,"Tampa, Florida, USA",Blue,False,Middleweight,13,1,3,0,3,4,3,0,2,0,1,Southpaw,185,2,0,0,1,1,1,1,0,0,1,0,Switch,185,31.0,28.0,Experienced,Experienced
1938,Elizeu Zaleski dos Santos,Omari Akhmedov,Dan Miragliotta,4/16/2016,"Tampa, Florida, USA",Red,False,Welterweight,9,0,1,0,2,3,2,0,1,2,0,Orthodox,185,3,0,0,1,0,0,1,0,0,0,0,Orthodox,170,28.0,29.0,Experienced,Experienced
1939,Igor Pokrajac,Jan Blachowicz,Leon Roberts,4/10/2016,"Zagreb, Croatia",Blue,False,LightHeavyweight,7,0,1,0,1,1,2,0,0,1,0,Orthodox,205,25,0,0,2,3,4,8,0,1,2,1,Orthodox,205,33.0,37.0,Experienced,Experienced
1940,Ian Entwistle,Alejandro Perez,Grant Waterman,4/10/2016,"Zagreb, Croatia",Blue,False,Bantamweight,6,1,1,0,1,2,1,0,1,1,0,Orthodox,145,2,0,0,1,1,1,1,0,0,0,1,Orthodox,135,26.0,29.0,Experienced,Young Prospect
1941,Derrick Lewis,Gabriel Gonzaga,Marc Goddard,4/10/2016,"Zagreb, Croatia",Red,False,Heavyweight,36,1,4,0,4,12,9,0,1,7,4,Orthodox,242,11,0,2,0,2,5,2,0,0,5,0,Orthodox,260,36.0,31.0,Experienced,Experienced
1942,Nicolas Dalby,Zak Cummings,Marc Goddard,4/10/2016,"Zagreb, Croatia",Blue,False,Welterweight,7,0,2,0,2,3,1,0,1,1,1,Southpaw,185,6,0,1,0,1,1,1,0,0,0,0,Orthodox,170,31.0,31.0,Experienced,Experienced
1943,Ben Rothwell,Junior Dos Santos,Leon Roberts,4/10/2016,"Zagreb, Croatia",Blue,False,Heavyweight,36,4,9,0,9,11,3,0,3,8,0,Orthodox,238,18,0,0,1,4,6,3,0,1,3,2,Orthodox,265,32.0,34.0,Experienced,Experienced
1944,Filip Pejic,Damian Stasiak,Marc Goddard,4/10/2016,"Zagreb, Croatia",Blue,False,Bantamweight,3,0,0,1,0,0,1,0,0,0,0,Orthodox,135,0,0,0,0,0,0,0,0,0,0,0,Orthodox,135,26.0,23.0,Young Prospect,Young Prospect
1945,Robert Whiteford,Lucas Martins,Leon Roberts,4/10/2016,"Zagreb, Croatia",Blue,False,Featherweight,13,0,0,1,3,3,3,0,0,2,1,Southpaw,145,9,0,0,1,2,2,2,0,1,1,0,Southpaw,145,27.0,32.0,Experienced,Young Prospect
1946,Mark Hunt,Frank Mir,Marc Goddard,3/19/2016,"Brisbane, Queensland, Australia",Red,False,Heavyweight,42,5,2,0,4,16,10,0,2,5,8,Southpaw,264,28,1,0,1,4,6,5,0,1,5,0,Orthodox,265,36.0,41.0,Veteran,Experienced
1947,Hector Lombard,Neil Magny,Steve Perceval,3/19/2016,"Brisbane, Queensland, Australia",Blue,False,Welterweight,36,0,1,0,7,10,3,0,5,3,1,Orthodox,170,14,0,0,1,2,3,3,0,1,2,0,Southpaw,185,28.0,38.0,Veteran,Experienced
1948,Bec Rawlings,Seo Hee Ham,Steve Perceval,3/19/2016,"Brisbane, Queensland, Australia",Red,False,WomenStrawweight,6,0,0,1,1,1,1,0,1,0,0,Southpaw,115,4,0,0,1,1,1,1,0,0,0,1,Orthodox,125,29.0,27.0,Young Prospect,Experienced
1949,Jake Matthews,Johnny Case,John Sharp,3/19/2016,"Brisbane, Queensland, Australia",Red,False,Lightweight,11,0,4,0,4,4,0,0,2,1,1,Orthodox,155,8,0,2,0,2,3,1,0,0,0,2,Orthodox,170,26.0,21.0,Young Prospect,Young Prospect
1950,Daniel Kelly,Antonio Carlos Junior,Greg Kleynjans,3/19/2016,"Brisbane, Queensland, Australia",Red,False,Middleweight,10,1,1,0,1,2,2,0,1,0,1,Orthodox,185,8,0,2,0,2,3,1,0,2,0,1,Southpaw,185,26.0,38.0,Veteran,Young Prospect
1951,James Te Huna,Steve Bosse,Marc Goddard,3/19/2016,"Brisbane, Queensland, Australia",Blue,False,LightHeavyweight,1,0,0,1,0,0,1,0,0,0,0,Orthodox,205,15,0,1,0,4,5,4,0,2,3,0,Orthodox,185,34.0,34.0,Experienced,Experienced
1952,Dan Hooker,Mark Eddiva,Greg Kleynjans,3/19/2016,"Brisbane, Queensland, Australia",Red,False,Featherweight,8,0,1,0,1,1,2,0,1,0,0,Orthodox,145,9,0,1,0,1,2,2,0,0,2,0,Switch,155,30.0,26.0,Young Prospect,Experienced
1953,Brendan O'Reilly,Alan Jouban,John Sharp,3/19/2016,"Brisbane, Queensland, Australia",Blue,False,Welterweight,9,0,1,0,2,3,2,0,1,2,0,Southpaw,170,6,0,0,1,1,1,1,0,1,0,0,Orthodox,170,34.0,28.0,Experienced,Experienced
1954,Leslie Smith,Rin Nakai,John Sharp,3/19/2016,"Brisbane, Queensland, Australia",Red,False,WomenBantamweight,3,0,0,1,0,0,1,0,0,0,0,Orthodox,135,6,0,0,1,1,1,2,0,0,1,0,Orthodox,135,29.0,33.0,Experienced,Experienced
1955,Ross Pearson,Chad Laprise,Steve Perceval,3/19/2016,"Brisbane, Queensland, Australia",Red,False,Lightweight,10,1,3,0,3,3,1,0,2,0,0,Orthodox,170,45,1,3,0,3,10,8,0,4,4,0,Orthodox,155,29.0,31.0,Experienced,Experienced
1956,Richard Walsh,Viscardi Andrade,Marc Goddard,3/19/2016,"Brisbane, Queensland, Australia",Blue,False,Welterweight,7,0,1,0,1,2,1,0,1,1,0,Orthodox,170,10,0,1,0,1,2,2,0,2,0,0,Orthodox,170,32.0,27.0,Young Prospect,Experienced
1957,Vitor Miranda,Marcelo Guimaraes,Chris Tognoni,3/5/2016,"Las Vegas, Nevada, USA",Red,False,Middleweight,8,0,1,0,1,2,1,0,0,0,0,Orthodox,185,6,1,0,1,2,2,1,0,0,2,0,Orthodox,185,32.0,36.0,Experienced,Experienced
1958,Brandon Thatch,Siyar Bahadurzada,John McCarthy,3/5/2016,"Las Vegas, Nevada, USA",Blue,False,Welterweight,7,0,1,0,1,1,2,0,0,1,0,Orthodox,170,7,0,2,0,2,2,2,0,0,2,0,Switch,170,31.0,30.0,Experienced,Experienced
1959,Amanda Nunes,Valentina Shevchenko,Herb Dean,3/5/2016,"Las Vegas, Nevada, USA",Red,False,WomenBantamweight,3,0,1,0,1,1,0,0,0,0,0,Southpaw,125,7,0,2,0,2,4,1,0,0,3,1,Orthodox,145,27.0,27.0,Young Prospect,Young Prospect
1960,Conor McGregor,Nate Diaz,Herb Dean,3/5/2016,"Las Vegas, Nevada, USA",Blue,False,Welterweight,50,2,5,0,5,13,8,0,2,2,8,Southpaw,170,11,2,7,0,7,7,0,0,1,6,0,Southpaw,155,30.0,27.0,Young Prospect,Experienced
1961,Erick Silva,Nordine Taleb,Herb Dean,3/5/2016,"Las Vegas, Nevada, USA",Blue,False,Welterweight,11,0,3,0,3,3,1,0,2,0,0,Orthodox,170,18,0,1,0,2,6,5,0,0,2,4,Orthodox,170,34.0,31.0,Experienced,Experienced
1962,Corey Anderson,Tom Lawlor,John McCarthy,3/5/2016,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,21,0,2,0,2,6,4,0,2,2,2,Southpaw,205,13,1,2,0,2,4,1,0,3,1,0,Orthodox,205,32.0,26.0,Young Prospect,Experienced
1963,Holly Holm,Miesha Tate,John McCarthy,3/5/2016,"Las Vegas, Nevada, USA",Blue,True,WomenBantamweight,18,1,0,2,4,4,2,0,3,0,0,Orthodox,135,8,1,3,0,3,3,0,0,1,1,0,Southpaw,135,29.0,34.0,Experienced,Experienced
1964,Gian Villante,Ilir Latifi,Yves Lavigne,3/5/2016,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,8,0,0,1,2,4,2,0,0,3,1,Orthodox,205,17,0,0,1,2,4,3,0,0,3,0,Orthodox,230,32.0,30.0,Experienced,Experienced
1965,Darren Elkins,Chas Skelly,Yves Lavigne,3/5/2016,"Las Vegas, Nevada, USA",Red,False,Featherweight,11,0,0,1,4,4,1,0,1,1,2,Orthodox,145,31,0,1,0,5,9,4,0,6,2,0,Orthodox,145,30.0,31.0,Experienced,Experienced
1966,Jason Saggo,Justin Salas,Yves Lavigne,3/5/2016,"Las Vegas, Nevada, USA",Red,False,Lightweight,11,0,1,0,1,3,3,0,1,1,0,Southpaw,155,4,0,1,0,1,1,1,0,0,1,0,Orthodox,155,33.0,30.0,Experienced,Experienced
1967,Diego Sanchez,Jim Miller,Chris Tognoni,3/5/2016,"Las Vegas, Nevada, USA",Red,False,Lightweight,49,0,2,0,7,14,7,0,5,2,6,Southpaw,155,61,2,6,0,6,14,8,0,6,5,0,Southpaw,170,32.0,34.0,Experienced,Experienced
1968,Julian Erosa,Teruto Ishihara,Chris Tognoni,3/5/2016,"Las Vegas, Nevada, USA",Blue,False,Featherweight,3,0,0,1,0,0,1,0,0,0,0,Southpaw,135,3,0,1,0,1,1,0,0,0,0,0,Southpaw,145,24.0,26.0,Young Prospect,Young Prospect
1969,Scott Askham,Chris Dempsey,Leon Roberts,2/27/2016,"London, England, United Kingdom",Red,False,Middleweight,5,0,0,1,1,1,2,0,0,0,0,Orthodox,185,7,0,0,1,1,1,2,0,0,1,0,Southpaw,185,28.0,27.0,Young Prospect,Experienced
1970,Tom Breese,Keita Nakamura,Leon Roberts,2/27/2016,"London, England, United Kingdom",Red,False,Welterweight,12,0,0,3,1,1,3,0,0,0,1,Southpaw,170,2,0,2,0,2,2,0,0,0,2,0,Southpaw,185,31.0,24.0,Young Prospect,Experienced
1971,Anderson Silva,Michael Bisping,Herb Dean,2/27/2016,"London, England, United Kingdom",Blue,False,Middleweight,64,1,4,0,4,17,7,0,6,9,0,Orthodox,185,44,13,16,0,16,16,3,0,2,11,3,Southpaw,185,36.0,40.0,Veteran,Experienced
1972,Mike Wilkinson,Makwan Amirkhani,Grant Waterman,2/27/2016,"London, England, United Kingdom",Blue,False,Featherweight,2,0,2,0,2,2,0,0,0,1,1,Southpaw,145,5,0,1,0,1,2,1,0,1,1,0,Orthodox,145,27.0,28.0,Experienced,Young Prospect
1973,Arnold Allen,Yaotzin Meza,Grant Waterman,2/27/2016,"London, England, United Kingdom",Red,False,Featherweight,15,0,0,1,1,2,4,0,1,0,1,Orthodox,145,3,0,1,0,1,1,0,0,0,0,1,Southpaw,145,35.0,22.0,Young Prospect,Experienced
1974,Gegard Mousasi,Thales Leites,Marc Goddard,2/27/2016,"London, England, United Kingdom",Red,False,Middleweight,36,1,0,1,5,10,4,0,3,2,4,Orthodox,185,18,0,1,0,2,4,3,0,2,1,1,Orthodox,185,34.0,30.0,Experienced,Experienced
1975,Francisco Rivera,Brad Pickett,Neil Hall,2/27/2016,"London, England, United Kingdom",Blue,False,Bantamweight,23,0,0,1,2,4,6,0,1,1,1,Orthodox,135,18,0,0,1,2,4,5,0,1,3,0,Orthodox,135,37.0,34.0,Experienced,Experienced
1976,Brad Scott,Krzysztof Jotko,Herb Dean,2/27/2016,"London, England, United Kingdom",Blue,False,Middleweight,11,0,1,0,2,3,1,0,2,0,0,Southpaw,185,9,1,0,1,1,2,2,0,0,0,2,Orthodox,170,26.0,26.0,Young Prospect,Young Prospect
1977,Dennis Bermudez,Tatsuya Kawajiri,Keith Peterson,2/21/2016,"Pittsburgh, Pennsylvania, USA",Red,False,Featherweight,11,0,1,0,2,3,1,0,2,0,1,Orthodox,145,23,1,0,1,7,7,3,0,2,1,2,Orthodox,155,37.0,29.0,Experienced,Experienced
1978,Daniel Sarafian,Oluwale Bamgbose,James Chappell,2/21/2016,"Pittsburgh, Pennsylvania, USA",Blue,False,Middleweight,1,0,0,1,0,0,1,0,0,0,0,Switch,185,10,0,0,1,1,2,3,0,0,1,1,Orthodox,185,28.0,33.0,Experienced,Experienced
1979,Derek Brunson,Roan Carneiro,Keith Peterson,2/21/2016,"Pittsburgh, Pennsylvania, USA",Red,False,Middleweight,13,0,1,0,1,3,3,0,1,1,1,Orthodox,170,12,0,2,0,3,5,1,0,2,2,1,Southpaw,185,37.0,32.0,Experienced,Experienced
1980,Donald Cerrone,Alex Oliveira,Mario Yamasaki,2/21/2016,"Pittsburgh, Pennsylvania, USA",Red,False,Welterweight,10,0,0,1,3,3,1,0,1,1,1,Orthodox,170,39,1,4,0,8,15,4,0,6,5,4,Orthodox,155,28.0,32.0,Experienced,Experienced
1981,Alex Garcia,Sean Strickland,Bill Bookwalter,2/21/2016,"Pittsburgh, Pennsylvania, USA",Blue,False,Welterweight,10,0,2,0,2,3,1,0,1,0,1,Orthodox,185,10,0,2,0,2,3,1,0,1,1,0,Orthodox,170,24.0,28.0,Experienced,Young Prospect
1982,James Krause,Shane Campbell,Keith Peterson,2/21/2016,"Pittsburgh, Pennsylvania, USA",Red,False,Lightweight,4,0,0,1,1,1,1,0,1,0,0,Orthodox,155,12,0,1,0,1,3,3,0,0,1,2,Orthodox,170,29.0,29.0,Experienced,Experienced
1983,Chris Camozzi,Joe Riggs,Mario Yamasaki,2/21/2016,"Pittsburgh, Pennsylvania, USA",Red,False,Middleweight,18,0,1,0,1,5,6,0,1,1,1,Southpaw,185,36,0,2,0,4,7,7,0,3,0,1,Orthodox,185,33.0,29.0,Experienced,Experienced
1984,Marion Reneau,Ashlee Evans-Smith,James Chappell,2/21/2016,"Pittsburgh, Pennsylvania, USA",Blue,False,WomenBantamweight,1,0,0,1,0,0,1,0,0,0,0,Orthodox,135,7,0,2,0,2,2,1,0,1,0,1,Orthodox,135,28.0,38.0,Veteran,Experienced
1985,Jonavin Webb,Nathan Coy,Keith Peterson,2/21/2016,"Pittsburgh, Pennsylvania, USA",Blue,False,Welterweight,1,0,0,1,0,0,1,0,0,0,0,Southpaw,170,3,0,0,1,0,0,1,0,0,0,0,Orthodox,170,37.0,26.0,Young Prospect,Experienced
1986,Anthony Hamilton,Shamil Abdurakhimov,Chip Snider,2/21/2016,"Pittsburgh, Pennsylvania, USA",Blue,False,Heavyweight,1,0,0,1,0,0,1,0,0,0,0,Orthodox,235,7,0,0,1,1,2,2,0,1,1,0,Orthodox,260,34.0,35.0,Experienced,Experienced
1987,Johny Hendricks,Stephen Thompson,John McCarthy,2/6/2016,"Las Vegas, Nevada, USA",Blue,False,Welterweight,14,0,1,0,5,6,1,0,2,4,0,Orthodox,170,42,3,4,0,6,12,3,0,4,5,0,Southpaw,185,32.0,32.0,Experienced,Experienced
1988,Mike Pyle,Sean Spencer,Yves Lavigne,2/6/2016,"Las Vegas, Nevada, USA",Red,False,Welterweight,18,0,0,1,2,3,3,0,2,0,0,Orthodox,170,30,0,0,1,4,9,6,0,2,4,2,Orthodox,170,28.0,40.0,Veteran,Experienced
1989,Joshua Burkman,KJ Noons,John McCarthy,2/6/2016,"Las Vegas, Nevada, USA",Red,False,Lightweight,10,0,0,1,2,2,3,0,1,1,0,Orthodox,155,33,0,2,0,2,5,8,0,2,1,1,Orthodox,170,33.0,35.0,Experienced,Experienced
1990,Ovince Saint Preux,Rafael Cavalcante,Yves Lavigne,2/6/2016,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,8,0,0,1,1,1,3,0,0,1,0,Orthodox,205,17,0,4,0,4,6,2,0,0,4,1,Southpaw,205,35.0,32.0,Experienced,Experienced
1991,Joseph Benavidez,Zach Makovsky,John McCarthy,2/6/2016,"Las Vegas, Nevada, USA",Red,False,Flyweight,15,0,2,0,2,3,2,0,3,0,0,Southpaw,125,30,2,3,0,4,10,2,0,6,3,1,Southpaw,125,32.0,31.0,Experienced,Experienced
1992,Roy Nelson,Jared Rosholt,Herb Dean,2/6/2016,"Las Vegas, Nevada, USA",Red,False,Heavyweight,19,0,3,0,3,6,1,0,5,1,0,Orthodox,265,34,1,2,0,3,7,8,0,0,7,0,Orthodox,263,29.0,39.0,Veteran,Experienced
1993,Noad Lahat,Diego Rivas,Mark Smith,2/6/2016,"Las Vegas, Nevada, USA",Blue,False,Featherweight,3,0,1,0,1,1,0,0,1,0,0,Orthodox,145,7,0,0,1,2,2,1,0,1,0,0,Orthodox,145,24.0,31.0,Experienced,Young Prospect
1994,Ray Borg,Justin Scoggins,Herb Dean,2/6/2016,"Las Vegas, Nevada, USA",Blue,False,Flyweight,12,0,2,0,2,3,2,0,2,1,0,Southpaw,125,10,0,0,1,3,3,1,0,1,0,2,Orthodox,135,23.0,22.0,Young Prospect,Young Prospect
1995,Artem Lobov,Alex White,Mark Smith,2/6/2016,"Las Vegas, Nevada, USA",Blue,False,Featherweight,7,0,1,0,1,1,2,0,0,1,0,Southpaw,155,3,1,0,1,0,0,1,0,0,0,0,Southpaw,145,27.0,29.0,Experienced,Young Prospect
1996,Sage Northcutt,Bryan Barberena,Keith Peterson,1/30/2016,"Newark, New Jersey, USA",Blue,False,Welterweight,6,0,1,0,1,1,1,0,0,1,0,Southpaw,170,3,0,2,0,2,2,0,0,0,1,1,Orthodox,170,26.0,19.0,Young Prospect,Young Prospect
1997,Tarec Saffiedine,Jake Ellenberger,Gasper Oliver,1/30/2016,"Newark, New Jersey, USA",Red,False,Welterweight,32,0,0,1,6,9,6,0,2,4,1,Orthodox,170,8,0,1,0,1,1,1,0,1,0,0,Switch,170,30.0,29.0,Experienced,Experienced
1998,Olivier Aubin-Mercier,Diego Ferreira,Vitor Ribeiro,1/30/2016,"Newark, New Jersey, USA",Blue,False,Lightweight,7,0,2,0,2,2,2,0,0,1,1,Orthodox,155,11,1,0,1,3,3,1,0,1,0,2,Southpaw,155,31.0,26.0,Young Prospect,Experienced
1999,Rafael Natal,Kevin Casey,Gary Copeland,1/30/2016,"Newark, New Jersey, USA",Red,False,Middleweight,7,0,0,2,1,1,3,0,1,0,0,Southpaw,185,36,0,0,2,3,8,5,0,5,0,1,Orthodox,185,34.0,33.0,Experienced,Experienced
2000,Dustin Ortiz,Wilson Reis,Vitor Ribeiro,1/30/2016,"Newark, New Jersey, USA",Blue,False,Flyweight,13,0,1,0,2,3,2,0,2,0,1,Southpaw,125,18,0,1,0,2,4,2,0,0,2,0,Orthodox,125,31.0,27.0,Young Prospect,Experienced
2001,Anthony Johnson,Ryan Bader,Keith Peterson,1/30/2016,"Newark, New Jersey, USA",Red,False,LightHeavyweight,41,1,5,0,5,13,4,0,8,3,1,Orthodox,205,29,1,1,0,3,11,5,0,2,9,0,Orthodox,205,32.0,31.0,Experienced,Experienced
2002,Josh Barnett,Ben Rothwell,Gary Copeland,1/30/2016,"Newark, New Jersey, USA",Blue,False,Heavyweight,16,0,0,1,3,5,3,0,1,3,1,Orthodox,265,16,1,1,0,4,6,2,0,1,4,1,Orthodox,250,34.0,38.0,Veteran,Experienced
2003,Iuri Alcantara,Jimmie Rivera,Liam Kerrigan,1/30/2016,"Newark, New Jersey, USA",Blue,False,Bantamweight,4,0,2,0,2,2,0,0,0,1,0,Orthodox,135,27,0,2,0,3,7,4,0,4,2,0,Southpaw,135,26.0,35.0,Experienced,Young Prospect
2004,George Sullivan,Alexander Yakovlev,Gasper Oliver,1/30/2016,"Newark, New Jersey, USA",Blue,False,Welterweight,9,0,0,2,1,1,2,0,1,0,0,Southpaw,155,11,0,2,0,2,3,1,0,2,1,0,Orthodox,170,31.0,34.0,Experienced,Experienced
2005,Alex Caceres,Masio Fullen,Gary Copeland,1/30/2016,"Newark, New Jersey, USA",Red,False,Featherweight,4,0,1,0,1,1,1,0,0,0,0,Orthodox,145,30,0,0,2,2,5,7,0,1,0,2,Southpaw,145,29.0,27.0,Young Prospect,Experienced
2006,Damon Jackson,Levan Makashvili,Gasper Oliver,1/30/2016,"Newark, New Jersey, USA",Draw,False,Featherweight,6,0,1,0,1,1,1,0,0,0,0,Orthodox,145,3,0,0,2,0,0,2,0,0,0,0,Switch,145,27.0,27.0,Young Prospect,Young Prospect
2007,Tim Boetsch,Ed Herman,Kevin MacDonald,1/17/2016,"Boston, Massachusetts, USA",Blue,False,LightHeavyweight,37,1,0,2,3,9,8,0,2,2,4,Orthodox,205,39,0,1,0,4,9,8,0,3,4,0,Orthodox,185,35.0,34.0,Experienced,Experienced
2008,Patrick Cote,Ben Saunders,Steve Rita,1/17/2016,"Boston, Massachusetts, USA",Red,False,Welterweight,20,0,3,0,3,7,3,0,1,2,3,Orthodox,170,45,2,0,4,4,9,9,0,4,3,0,Orthodox,170,32.0,35.0,Experienced,Experienced
2009,Ross Pearson,Francisco Trinaldo,Herb Dean,1/17/2016,"Boston, Massachusetts, USA",Blue,False,Lightweight,25,0,1,0,4,8,3,0,3,2,2,Southpaw,155,42,1,3,0,3,10,7,0,4,4,0,Orthodox,155,37.0,31.0,Experienced,Experienced
2010,Travis Browne,Matt Mitrione,Gary Forman,1/17/2016,"Boston, Massachusetts, USA",Red,False,Heavyweight,20,0,5,0,5,9,4,0,1,8,0,Switch,265,20,0,1,0,3,8,4,0,1,6,1,Orthodox,255,37.0,33.0,Experienced,Experienced
2011,TJ Dillashaw,Dominick Cruz,Herb Dean,1/17/2016,"Boston, Massachusetts, USA",Blue,True,Bantamweight,11,2,3,0,3,3,0,0,2,1,0,Orthodox,135,28,4,0,1,4,8,2,0,2,5,1,Orthodox,125,30.0,29.0,Experienced,Experienced
2012,Ilir Latifi,Sean O'Connell,Kevin MacDonald,1/17/2016,"Boston, Massachusetts, USA",Red,False,LightHeavyweight,8,0,0,2,2,2,2,0,0,2,0,Orthodox,205,7,0,0,1,2,3,2,0,0,2,1,Orthodox,205,32.0,32.0,Experienced,Experienced
2013,Paul Felder,Daron Cruickshank,Steve Rita,1/17/2016,"Boston, Massachusetts, USA",Red,False,Lightweight,27,0,2,0,2,6,6,0,2,3,0,Switch,155,11,0,2,0,2,2,2,0,0,1,0,Orthodox,155,30.0,31.0,Experienced,Experienced
2014,Justine Kish,Nina Ansaroff,Chris Tognoni,1/2/2016,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,3,0,0,1,0,0,1,0,0,0,0,Orthodox,115,0,0,0,0,0,0,0,0,0,0,0,Orthodox,125,30.0,27.0,Young Prospect,Experienced
2015,Diego Brandao,Brian Ortega,John McCarthy,1/2/2016,"Las Vegas, Nevada, USA",Blue,False,Featherweight,4,0,0,1,1,1,1,0,0,1,0,Switch,145,15,1,1,0,3,6,3,0,2,1,2,Orthodox,145,24.0,28.0,Experienced,Young Prospect
2016,Abel Trujillo,Tony Sims,Herb Dean,1/2/2016,"Las Vegas, Nevada, USA",Red,False,Lightweight,4,0,1,0,1,1,1,0,0,1,0,Southpaw,155,14,0,1,0,2,4,3,0,0,3,0,Orthodox,155,30.0,32.0,Experienced,Experienced
2017,Lorenz Larkin,Albert Tumenov,Mario Yamasaki,1/2/2016,"Las Vegas, Nevada, USA",Blue,False,Welterweight,9,0,0,1,4,4,1,0,1,3,0,Orthodox,170,16,0,0,1,2,3,4,0,1,2,0,Orthodox,170,24.0,29.0,Experienced,Young Prospect
2018,Stipe Miocic,Andrei Arlovski,Herb Dean,1/2/2016,"Las Vegas, Nevada, USA",Red,False,Heavyweight,34,5,1,0,7,14,4,0,2,9,2,Orthodox,240,25,0,3,0,3,7,2,0,3,4,0,Orthodox,240,36.0,33.0,Experienced,Experienced
2019,Michael McDonald,Masanori Kanehara,Mario Yamasaki,1/2/2016,"Las Vegas, Nevada, USA",Red,False,Bantamweight,6,0,1,0,1,1,1,0,1,0,0,Orthodox,135,16,1,4,0,4,5,2,0,1,2,1,Orthodox,135,33.0,24.0,Young Prospect,Experienced
2020,Joe Soto,Michinori Tanaka,Mario Yamasaki,1/2/2016,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,6,0,1,0,1,1,1,0,1,0,0,Orthodox,135,6,1,0,2,0,0,2,0,0,0,0,Orthodox,135,25.0,28.0,Experienced,Young Prospect
2021,Robbie Lawler,Carlos Condit,John McCarthy,1/2/2016,"Las Vegas, Nevada, USA",Red,True,Welterweight,32,2,0,1,5,7,4,0,1,4,0,Orthodox,170,43,3,3,0,4,11,4,0,3,6,0,Southpaw,170,31.0,33.0,Experienced,Experienced
