,R_fighter,B_fighter,Referee,date,location,Winner,Title Fight,weight_class,B Rounds,B Title Fights,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_Stance,B_Weight_lbs,R Rounds,R Title Fights,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_Stance,R_Weight_lbs,B_age,R_age,R_Age Range,B_Age Range
4208,Matt Hughes,BJ Penn,John McCarthy,9/23/2006,"Anaheim, California, USA",Red,True,Welterweight,22,3,3,0,3,6,3,0,1,4,1,Orthodox,155,30,9,2,0,6,13,2,0,3,4,4,Switch,170,27.0,32.0,Experienced,Young Prospect
4209,Rashad Evans,Jason Lambert,John McCarthy,9/23/2006,"Anaheim, California, USA",Red,False,LightHeavyweight,4,0,3,0,3,3,0,0,0,2,1,Orthodox,185,9,1,3,0,3,3,0,0,0,0,0,Orthodox,205,31.0,26.0,Young Prospect,Experienced
4210,Mike Swick,David Loiseau,Steve Mazzagatti,9/23/2006,"Anaheim, California, USA",Red,False,Middleweight,14,1,1,0,3,4,2,0,0,2,0,Orthodox,185,4,0,4,0,4,4,0,0,0,2,2,Orthodox,170,26.0,27.0,Young Prospect,Young Prospect
4211,Wilson Gouveia,Wes Combs,Steve Mazzagatti,8/26/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,1,0,0,1,0,0,1,0,0,0,0,Orthodox,205,3,0,0,1,0,0,1,0,0,0,0,Orthodox,185,33.0,27.0,Young Prospect,Experienced
4212,Chuck Liddell,Renato Sobral,John McCarthy,8/26/2006,"Las Vegas, Nevada, USA",Red,True,LightHeavyweight,15,0,1,0,3,5,2,0,1,0,3,Orthodox,205,30,4,1,0,7,13,2,0,5,7,0,Orthodox,205,30.0,36.0,Experienced,Experienced
4213,Nick Diaz,Josh Neer,Herb Dean,8/26/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,8,0,0,1,2,2,2,0,1,0,1,Orthodox,170,19,0,2,0,2,4,4,0,0,3,1,Southpaw,185,23.0,23.0,Young Prospect,Young Prospect
4214,Eric Schafer,Rob MacDonald,Herb Dean,8/26/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,2,0,0,1,1,1,1,0,0,0,1,Orthodox,205,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185,27.0,28.0,Experienced,Young Prospect
4215,Forrest Griffin,Stephan Bonnar,Steve Mazzagatti,8/26/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,13,1,0,1,3,3,2,0,2,0,1,Orthodox,205,8,1,3,0,3,3,1,0,1,1,1,Orthodox,205,29.0,27.0,Young Prospect,Experienced
4216,Chris Leben,Jorge Santiago,Herb Dean,8/17/2006,"Las Vegas, Nevada, USA",Red,False,Middleweight,1,0,1,0,1,1,0,0,0,1,0,Orthodox,170,10,0,5,0,5,5,1,0,1,2,1,Southpaw,185,25.0,26.0,Young Prospect,Young Prospect
4217,Forrest Petz,Sammy Morgan,Herb Dean,8/17/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,1,0,0,1,0,0,1,0,0,0,0,Orthodox,170,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170,24.0,30.0,Experienced,Young Prospect
