R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
Sean Sherk,Hermes Franca,John McCarthy,7/7/2007,"Sacramento, California, USA",Red,TRUE,Lightweight,0.0625,0,660.84375,19,0,2,0,3,5,2,0,0,0,1,2,2,0,Orthodox,167.64000000000001,155,0,0,1159.109375,21,2,3,0,3,5,2,0,0,0,3,0,1,1,Orthodox,167.64000000000001,155,32,33
Jorge Gurgel,Diego Saraiva,Yves Lavigne,7/7/2007,"Sacramento, California, USA",Red,FALSE,Lightweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,167.64000000000001,155,0,0,900,6,0,0,1,1,1,1,0,0,1,0,0,0,0,Orthodox,170.18,155,25,30
Stephan Bonnar,Mike Nickels,Jon Schorle,7/7/2007,"Sacramento, California, USA",Red,FALSE,LightHeavyweight,0,0,190,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,193.04,205,0.125,0,860.625,16,1,0,1,3,3,3,0,0,0,2,0,1,0,Orthodox,193.04,205,35,30
BJ Penn,Jens Pulver,Steve Mazzagatti,6/23/2007,"Las Vegas, Nevada, USA",Red,FALSE,Lightweight,0.03125,0.5,703.0703125,24,3,0,1,6,6,2,0,1,0,3,2,0,0,Southpaw,170.18,145,0.005859375,0,818.7675781,25,4,3,0,3,6,4,0,0,0,1,4,1,0,Orthodox,175.26,155,32,28
Ed Herman,Scott Smith,Herb Dean,6/16/2007,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Middleweight,0.5,0,623.25,6,0,0,1,1,1,2,0,0,0,0,1,0,0,Orthodox,182.88,185,0,0,354.75,5,1,0,2,1,1,2,0,0,0,0,0,1,0,Orthodox,185.42,205,28,26
Tyson Griffin,Clay Guida,Yves Lavigne,6/16/2007,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Lightweight,0,0,741,5,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,170.18,155,0,0,505,4,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,167.64000000000001,145,25,23
Forrest Griffin,Hector Ramirez,John McCarthy,6/16/2007,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,LightHeavyweight,0,1,456,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,205,0.0625,0,523.5625,12,1,3,0,3,4,2,0,0,0,2,1,1,0,Orthodox,190.5,205,31,28
Jason MacDonald,Rory Singer,Herb Dean,6/16/2007,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Middleweight,0,0.5,657.5,7,0,2,0,2,2,1,0,0,0,1,0,1,0,Orthodox,187.96,185,0,0,476.5,5,0,2,0,2,2,1,0,0,0,0,0,2,0,Orthodox,190.5,185,31,32
Rich Franklin,Yushin Okami,John McCarthy,6/16/2007,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Middleweight,0,0,860.75,12,0,4,0,4,4,0,0,0,0,2,2,0,0,Southpaw,187.96,170,0.390625,0.40625,587.1835938,19,4,7,0,7,8,1,0,0,0,1,5,1,1,Southpaw,185.42,185,25,32
Jon Fitch,Roan Carneiro,Troy Waugh,6/12/2007,"Hollywood, Florida, USA",Red,FALSE,Welterweight,0,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,170,0.1875,0,633.1875,12,0,5,0,5,5,0,0,0,0,2,1,2,0,Orthodox,182.88,170,29,29
