R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
Dong Hyun Ma,Brendan O'Reilly,Mark Smith,12/3/2016,"Las Vegas, Nevada, USA",Red,FALSE,Lightweight,0,0.5,517.5,7,0,0,1,1,1,2,0,0,0,1,0,0,0,Orthodox,170.18,170,0,1.5,669.5,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,180.34,155,29,28
Daniel Kelly,Chris Camozzi,Herb Dean,11/26/2016,"Melbourne, Victoria, Australia",Red,FALSE,Middleweight,0.125,6.103515625e-05,704.9732360839844,43,0,2,0,4,9,8,0,0,2,4,1,1,1,Orthodox,187.96,185,0,0.125,652.0625,11,0,2,0,2,4,1,0,0,0,2,1,1,0,Southpaw,182.88,185,30,39
Kyle Noke,Omari Akhmedov,Steve Perceval,11/26/2016,"Melbourne, Victoria, Australia",Blue,FALSE,Welterweight,0.28125,0.28125,684.96875,12,0,1,0,2,3,3,0,0,0,1,2,0,0,Orthodox,182.88,185,0.141601563,0.5625,633.7802734,22,0,3,0,3,6,5,0,0,1,0,3,2,0,Southpaw,185.42,170,29,36
Damien Brown,Jon Tuck,Greg Kleynjans,11/26/2016,"Melbourne, Victoria, Australia",Red,FALSE,Lightweight,0.25,0,725.6875,16,0,1,0,1,3,3,0,0,0,1,1,1,0,Orthodox,180.34,155,1,0,523.5,4,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,177.8,155,32,31
Jake Matthews,Andrew Holbrook,John Sharp,11/26/2016,"Melbourne, Victoria, Australia",Blue,FALSE,Lightweight,0,0.5,467,4,0,1,0,1,1,1,0,0,1,0,0,0,0,Southpaw,180.34,155,0,0.125,475.3125,12,0,2,0,2,4,2,0,0,0,0,0,3,1,Orthodox,180.34,170,30,22
Seo Hee Ham,Danielle Taylor,John Sharp,11/26/2016,"Melbourne, Victoria, Australia",Blue,FALSE,WomenStrawweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,152.4,115,0,0,900,9,0,0,1,1,1,2,0,0,0,1,0,0,0,Southpaw,157.48000000000002,115,27,29
Robert Whittaker,Derek Brunson,Herb Dean,11/26/2016,"Melbourne, Victoria, Australia",Red,FALSE,Middleweight,0.5703125,0,157.703125,14,0,2,0,5,7,1,0,0,0,2,4,1,0,Southpaw,185.42,185,0.26171875,0.01953125,754.0976563,22,1,2,0,5,7,2,0,0,0,4,3,0,0,Orthodox,182.88,185,32,25
Richard Walsh,Jonathan Meunier,Steve Perceval,11/26/2016,"Melbourne, Victoria, Australia",Blue,FALSE,Welterweight,0,1,654,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,190.5,170,0.625,0,804.875,13,0,1,0,1,2,3,0,0,0,2,0,0,0,Orthodox,182.88,170,29,27
Dan Hooker,Jason Knight,John Sharp,11/26/2016,"Melbourne, Victoria, Australia",Blue,FALSE,Featherweight,0,0,900,6,0,0,1,1,1,1,0,0,1,0,0,0,0,Orthodox,177.8,145,0.125,0,405.75,10,0,1,0,1,3,2,0,0,0,0,2,1,0,Switch,182.88,155,24,26
Marlon Vera,Guangyou Ning,Steve Perceval,11/26/2016,"Melbourne, Victoria, Australia",Red,FALSE,Featherweight,0,0,824.75,8,1,2,0,2,2,1,0,0,0,1,1,0,0,Southpaw,162.56,145,0,0,783.75,8,0,0,1,1,1,2,0,0,0,0,0,1,0,Switch,172.72,135,34,23
Ben Nguyen,Geane Herrera,Herb Dean,11/26/2016,"Melbourne, Victoria, Australia",Red,FALSE,Flyweight,0.25,0,817,8,0,0,1,1,1,2,0,0,0,0,1,0,0,Orthodox,165.1,125,0.5,0,404,4,0,2,0,2,2,1,0,0,0,0,1,1,0,Switch,165.1,125,26,28
Cezar Ferreira,Jack Hermansson,Fernando Portella,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,Middleweight,0,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,185.42,185,0.0078125,0.484375,760.5898438,19,1,3,0,3,6,3,0,0,1,4,0,1,0,Southpaw,185.42,185,28,31
Sergio Moraes,Zak Ottow,Eduardo Herdy,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,Welterweight,0,0,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,180.34,170,0.25,0.8125,811.875,16,1,0,1,4,4,2,0,0,0,1,1,2,0,Orthodox,182.88,170,29,34
Claudia Gadelha,Cortney Casey,Fernando Portella,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,WomenStrawweight,0,0.125,401,8,0,0,2,2,2,2,0,0,0,0,1,1,0,Orthodox,170.18,125,0.5,0.125,1200,14,1,1,0,1,2,2,0,0,0,2,0,0,0,Orthodox,162.56,115,29,27
Thomas Almeida,Albert Morales,Eduardo Herdy,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,Bantamweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,135,0.375,0.625,266,8,0,4,0,4,4,1,0,0,0,1,3,0,0,Southpaw,170.18,145,25,25
Warlley Alves,Kamaru Usman,Vitor Ribeiro,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Blue,FALSE,Welterweight,0,0,769.75,8,1,3,0,3,3,0,0,0,0,2,0,1,0,Switch,182.88,170,0.0625,0,635.6875,12,1,4,0,4,4,1,0,0,0,1,0,3,0,Orthodox,180.34,170,29,25
Thales Leites,Krzysztof Jotko,Mario Yamasaki,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Blue,FALSE,Middleweight,0.5,0,470.09375,15,0,1,0,4,5,1,0,0,1,3,1,0,0,Southpaw,185.42,185,0.047149658,0.062530518,859.1396484,42,1,0,1,5,11,5,0,0,1,3,2,5,0,Orthodox,185.42,185,27,35
Ryan Bader,Rogerio Nogueira,Mario Yamasaki,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,LightHeavyweight,0.53515625,0.125,463.90625,19,0,2,0,2,5,4,0,0,1,1,3,0,0,Southpaw,187.96,205,0.5022315979003906,0.505004883,472.93883514404297,44,1,5,0,5,14,5,0,0,1,8,4,1,0,Orthodox,187.96,205,40,33
Luis Henrique,Christian Colombo,Fernando Portella,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,Heavyweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,195.57999999999998,265,0,0.5,505.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,187.96,243,36,23
Johnny Eduardo,Manvel Gamburyan,Mario Yamasaki,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,Bantamweight,0.25,0.633300781,429.7017822265625,32,1,0,1,2,6,8,0,0,0,3,0,3,0,Orthodox,165.1,135,0.25,0,573.25,9,0,0,1,2,2,2,0,0,0,1,1,0,0,Orthodox,170.18,135,35,38
Pedro Munhoz,Justin Scoggins,Vitor Ribeiro,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,FALSE,Bantamweight,0,0,811.59375,15,0,2,0,2,4,2,0,0,0,3,1,0,0,Southpaw,170.18,125,0,0,360.5625,9,0,0,1,1,2,3,0,0,0,0,1,1,0,Orthodox,167.64000000000001,135,24,30
Kevin Lee,Magomed Mustafaev,Rich Mitchell,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Lightweight,0.5,0,309,3,0,2,0,2,2,0,0,0,0,0,1,0,1,Orthodox,172.72,155,0,0.1328125,441,18,0,0,1,4,6,2,0,0,1,3,1,1,0,Orthodox,175.26,170,28,24
Artem Lobov,Teruto Ishihara,Rich Mitchell,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Featherweight,1.25,0,384.5,6,0,0,1,2,2,1,0,0,0,0,2,0,0,Southpaw,170.18,135,0,0,900,9,1,0,2,1,1,2,0,0,0,1,0,0,0,Southpaw,175.26,145,25,30
Kyoji Horiguchi,Ali Bagautinov,Grant Waterman,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Flyweight,0.0625,0,972.125,20,1,3,0,3,4,2,0,0,0,3,1,0,0,Orthodox,162.56,125,1.03125,0,948.109375,20,1,4,0,4,6,1,0,0,0,4,2,0,0,Orthodox,165.1,125,31,26
Ross Pearson,Stevie Ray,Leon Roberts,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Blue,FALSE,Lightweight,0.125,0,743.125,9,0,3,0,3,3,1,0,0,0,1,2,0,0,Southpaw,177.8,155,0.011230469,0.5078926086425781,892.5669116973877,54,1,3,0,3,11,10,0,0,2,4,4,0,1,Orthodox,172.72,155,26,32
Anna Elmose,Amanda Cooper,Grant Waterman,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Blue,FALSE,WomenStrawweight,0,0,223,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Switch,160.02,115,0,1,226,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,160.02,115,25,32
Gegard Mousasi,Uriah Hall,Marc Goddard,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Middleweight,0.14453125,0.5,368.859375,21,1,0,2,3,5,5,0,0,0,1,2,0,2,Orthodox,182.88,185,0.265625,0.0625,473.9414063,24,0,1,0,3,7,3,0,0,0,3,3,1,0,Orthodox,187.96,185,32,31
Zak Cummings,Alexander Yakovlev,Leon Roberts,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,Welterweight,0.375,0.0625,734.75,13,0,0,2,2,2,3,0,0,0,1,1,0,0,Southpaw,190.5,155,0.375,0,753.34375,13,0,2,0,2,4,2,0,0,0,2,1,1,0,Southpaw,182.88,185,32,32
Marion Reneau,Milana Dudieva,Grant Waterman,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,FALSE,WomenBantamweight,0,0,569.5,4,0,1,0,1,1,1,0,0,1,0,0,0,0,Orthodox,160.02,135,0,0.125,801.75,10,0,2,0,2,2,2,0,0,0,1,0,1,0,Orthodox,167.64000000000001,135,27,39
Tyron Woodley,Stephen Thompson,Dan Miragliotta,11/12/2016,"New York City, New York, USA",Draw,TRUE,Welterweight,0.62890625,0.125,917.1757813,20,0,1,0,7,8,1,0,0,0,3,5,0,0,Orthodox,182.88,170,0.6953125,0,379.65625,15,1,1,0,3,6,2,0,0,1,0,5,0,0,Orthodox,175.26,170,33,34
Khabib Nurmagomedov,Michael Johnson,John McCarthy,11/12/2016,"New York City, New York, USA",Red,FALSE,Lightweight,0.536743164,0.000976563,488.1068115234375,37,1,0,1,4,9,6,0,0,0,5,4,0,0,Southpaw,177.8,155,0.046875,0,681.78125,18,0,7,0,7,7,0,0,0,0,4,2,1,0,Orthodox,177.8,155,30,28
Frankie Edgar,Jeremy Stephens,Keith Peterson,11/12/2016,"New York City, New York, USA",Red,FALSE,Featherweight,0.258059025,0.001983643,876.9675054550171,62,0,0,1,3,12,11,0,0,1,5,5,0,1,Orthodox,175.26,145,0.254882813,0.002441406,1131.7901058197021,74,8,3,0,5,14,6,0,0,0,8,4,2,0,Orthodox,167.64000000000001,135,30,35
Rafael Natal,Tim Boetsch,Dan Miragliotta,11/12/2016,"New York City, New York, USA",Blue,FALSE,Middleweight,0.12744903564453125,0.375,431.7011528015137,43,0,1,0,4,10,9,0,0,2,3,5,0,0,Orthodox,182.88,185,0.258789063,0.008605957,874.0927734,42,0,0,2,4,9,6,0,0,2,5,1,1,0,Orthodox,182.88,185,35,33
Chris Weidman,Yoel Romero,Mario Yamasaki,11/12/2016,"New York City, New York, USA",Blue,FALSE,Middleweight,0.78125,0,800.453125,19,0,7,0,7,7,0,0,0,1,1,5,0,0,Southpaw,182.88,185,0.109375,0,828.125,24,5,9,0,9,9,1,0,0,0,3,4,2,0,Orthodox,187.96,185,39,32
Miesha Tate,Raquel Pennington,Dan Miragliotta,11/12/2016,"New York City, New York, USA",Blue,FALSE,WomenBantamweight,0,0,843.46875,18,0,1,0,3,5,2,0,0,1,2,0,2,0,Orthodox,170.18,135,0.125,0.0625,672.6328125,24,3,0,2,5,5,3,0,1,0,3,0,1,0,Orthodox,167.64000000000001,135,28,30
Eddie Alvarez,Conor McGregor,John McCarthy,11/12/2016,"New York City, New York, USA",Blue,TRUE,Lightweight,1.74609375,0,947.2226563,18,2,7,0,7,8,1,0,1,0,1,6,0,0,Southpaw,175.26,155,0,0.125,564.5,10,1,0,1,3,3,1,0,0,2,0,1,0,0,Orthodox,175.26,155,28,32
Vicente Luque,Belal Muhammad,John McCarthy,11/12/2016,"New York City, New York, USA",Red,FALSE,Welterweight,0,1.5,879.5,6,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,180.34,170,0.5,0,292.125,7,0,0,1,3,3,1,0,0,0,0,1,2,0,Orthodox,180.34,170,28,24
Joanna Jedrzejczyk,Karolina Kowalkiewicz,Keith Peterson,11/12/2016,"New York City, New York, USA",Red,TRUE,WomenStrawweight,0,0,900,9,0,3,0,3,3,0,0,0,1,2,0,0,0,Orthodox,160.02,115,0.03125,0.5,1323.8125,21,4,6,0,6,6,0,0,0,1,3,2,0,0,Orthodox,167.64000000000001,115,31,29
Jim Miller,Thiago Alves,Keith Peterson,11/12/2016,"New York City, New York, USA",Red,FALSE,CatchWeight,0.2919349670410156,0.5019607543945312,585.9367523193359,47,1,0,1,7,13,7,0,0,0,4,7,1,1,Orthodox,175.26,170,3.337860107421875e-05,0.0078125,675.7083753347397,56,0,2,0,7,16,8,0,0,2,5,3,6,0,Southpaw,172.72,155,33,33
Liz Carmouche,Katlyn Chookagian,Mario Yamasaki,11/12/2016,"New York City, New York, USA",Red,FALSE,WomenBantamweight,0,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,175.26,125,0,0,839.125,12,1,0,1,1,2,3,0,0,0,1,1,0,0,Orthodox,167.64000000000001,125,27,32
Marco Beltran,Joe Soto,Miguel Jimenez,11/5/2016,"Mexico City, Distrito Federal, Mexico",Blue,FALSE,CatchWeight,0,0.375,814.125,12,1,0,3,1,1,3,0,0,0,0,0,1,0,Orthodox,167.64000000000001,135,0.5,0,692,8,0,3,0,3,3,0,0,0,1,1,0,1,0,Orthodox,172.72,125,29,30
Ricardo Lamas,Charles Oliveira,Jerin Valel,11/5/2016,"Mexico City, Distrito Federal, Mexico",Red,FALSE,Featherweight,0.06262207,0.001953125,502.454834,31,0,2,0,4,9,7,0,0,0,1,0,8,0,Orthodox,177.8,155,0.064453125,0.25,768.0097656,24,1,4,0,4,7,3,0,0,0,3,2,2,0,Orthodox,172.72,145,27,34
Beneil Dariush,Rashid Magomedov,Herb Dean,11/5/2016,"Mexico City, Distrito Federal, Mexico",Red,FALSE,Lightweight,1.625,0,899.25,12,0,4,0,4,4,0,0,0,0,3,1,0,0,Orthodox,175.26,155,1.00390625,0.0078125,425.5976563,18,0,1,0,5,7,2,0,0,1,2,1,3,0,Southpaw,177.8,155,31,27
Rafael Dos Anjos,Tony Ferguson,Herb Dean,11/5/2016,"Mexico City, Distrito Federal, Mexico",Blue,FALSE,Lightweight,0.133300781,0.533203125,498.6005859,23,1,3,0,8,11,1,0,0,1,2,2,5,1,Orthodox,180.34,155,0.051086426,1.9073486328125e-06,401.33580589294434,50,3,0,2,5,14,6,0,0,0,8,4,2,0,Southpaw,172.72,155,32,32
Erik Perez,Felipe Arantes,Mario Yamasaki,11/5/2016,"Mexico City, Distrito Federal, Mexico",Red,FALSE,Bantamweight,0.0625,0,479,22,0,0,1,2,5,4,0,0,0,2,1,2,0,Orthodox,172.72,135,0.0859375,0.25,816.6171875,17,0,3,0,3,6,2,0,0,0,3,2,1,0,Orthodox,172.72,135,28,26
Alexa Grasso,Heather Clark,Keith Peterson,11/5/2016,"Mexico City, Distrito Federal, Mexico",Red,FALSE,WomenStrawweight,0,0,900,6,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,167.64000000000001,115,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,125,36,23
Erick Montano,Max Griffin,Jerin Valel,11/5/2016,"Mexico City, Distrito Federal, Mexico",Blue,FALSE,Welterweight,0,0,738,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,170,0,0,759,6,1,1,0,1,1,1,0,0,1,0,0,0,0,Orthodox,182.88,170,30,30
Sam Alvey,Alex Nicholson,Herb Dean,11/5/2016,"Mexico City, Distrito Federal, Mexico",Red,FALSE,Middleweight,0.5,0.5,342.5,3,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,193.04,185,1.046875,0,472.90625,13,0,0,1,3,5,3,0,0,0,0,4,1,0,Southpaw,187.96,205,26,30
Henry Briones,Douglas Silva de Andrade,Keith Peterson,11/5/2016,"Mexico City, Distrito Federal, Mexico",Blue,FALSE,Bantamweight,0.5,0,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,170.18,145,0.5,0.5,652,5,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,172.72,135,31,36
Marco Polo Reyes,Jason Novelli,Mario Yamasaki,11/5/2016,"Mexico City, Distrito Federal, Mexico",Red,FALSE,Lightweight,0,1,385,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,155,1.5,0,467,4,0,2,0,2,2,0,0,0,0,0,2,0,0,Orthodox,180.34,155,37,31
Enrique Barzola,Chris Avila,Miguel Jimenez,11/5/2016,"Mexico City, Distrito Federal, Mexico",Red,FALSE,Featherweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,145,0,0,900,6,1,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,170.18,145,23,27
Brad Pickett,Iuri Alcantara,Marc Goddard,10/8/2016,"Manchester, England, United Kingdom",Blue,FALSE,Bantamweight,0.046875,0,868.2285156,30,0,2,0,3,7,5,0,0,1,4,2,0,0,Southpaw,175.26,135,0.252929688,0.286132813,749.0488281,26,0,0,1,2,5,6,0,0,2,1,1,1,0,Orthodox,167.64000000000001,135,36,38
Vitor Belfort,Gegard Mousasi,Marc Goddard,10/8/2016,"Manchester, England, United Kingdom",Blue,FALSE,Middleweight,0.53125,0.125,484.8828125,22,0,1,0,2,6,3,0,0,0,3,2,1,0,Orthodox,187.96,185,0.42582035064697266,0.008804321,217.4248924255371,32,5,3,0,3,14,8,0,0,0,0,11,2,1,Southpaw,182.88,185,31,39
Leon Edwards,Albert Tumenov,Yves Lavigne,10/8/2016,"Manchester, England, United Kingdom",Red,FALSE,Welterweight,0.21875,0,570.34375,14,0,0,1,5,5,2,0,0,1,1,3,0,0,Orthodox,180.34,170,0.1875,0,844.25,13,0,0,1,2,3,2,0,0,0,2,1,0,0,Southpaw,187.96,170,24,25
Davey Grant,Damian Stasiak,Kevin Sataki,10/8/2016,"Manchester, England, United Kingdom",Blue,FALSE,Bantamweight,0,0,518,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,135,0,0,665,5,1,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,172.72,135,26,30
Ovince Saint Preux,Jimi Manuwa,Leon Roberts,10/8/2016,"Manchester, England, United Kingdom",Blue,FALSE,LightHeavyweight,0.03125,0.625,500.6875,12,0,3,0,3,4,2,0,0,0,1,1,0,2,Orthodox,185.42,205,0.09375,0,1121.816406,25,1,4,0,4,7,3,0,1,0,1,4,1,0,Southpaw,190.5,205,36,33
Michael Bisping,Dan Henderson,Yves Lavigne,10/8/2016,"Manchester, England, United Kingdom",Red,TRUE,Middleweight,0.6422271728515625,0.8594512939453125,277.9760742,42,3,2,0,4,9,8,0,0,2,3,4,0,0,Orthodox,180.34,185,1.265747606754303,0.34572988748550415,770.4087372422218,70,2,4,0,4,19,7,0,0,2,7,10,0,0,Orthodox,185.42,185,46,37
Mirsad Bektic,Russell Doane,Yves Lavigne,10/8/2016,"Manchester, England, United Kingdom",Red,FALSE,Featherweight,0.25,0,495.1875,12,0,2,0,2,2,3,0,0,1,0,0,1,0,Orthodox,170.18,135,0.5,0,615,8,0,3,0,3,3,0,0,1,0,1,1,0,0,Orthodox,172.72,145,30,25
Stefan Struve,Daniel Omielanczuk,Kevin Sataki,10/8/2016,"Manchester, England, United Kingdom",Red,FALSE,Heavyweight,0.15625,0,738.0625,16,0,1,0,3,4,2,0,2,0,0,2,0,0,Southpaw,182.88,247,0.504150391,0.032440186,395.67356872558594,30,0,0,1,4,11,6,0,1,0,1,5,4,0,Orthodox,210.82,265,34,28
Leonardo Santos,Adriano Martins,Kevin Sataki,10/8/2016,"Manchester, England, United Kingdom",Red,FALSE,Lightweight,0.625,0.0625,342.4375,8,0,1,0,3,4,1,0,0,1,0,2,1,0,Southpaw,177.8,155,0.5,0.125,420.4375,11,1,1,0,3,4,1,0,0,0,1,1,2,0,Orthodox,182.88,155,33,36
Danny Roberts,Mike Perry,Marc Goddard,10/8/2016,"Manchester, England, United Kingdom",Blue,FALSE,Welterweight,3,0,218,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,177.8,170,0,0.5,533,4,0,2,0,2,2,0,0,0,0,1,0,1,0,Southpaw,185.42,170,25,29
Shamil Abdurakhimov,Walt Harris,Herb Dean,10/1/2016,"Portland, Oregon, USA",Red,FALSE,Heavyweight,0.75,0.125,391.875,7,0,0,3,1,1,3,0,0,0,0,1,0,0,Southpaw,195.57999999999998,250,0,0,598.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,190.5,235,33,35
Will Brooks,Alex Oliveira,Herb Dean,10/1/2016,"Portland, Oregon, USA",Blue,FALSE,Lightweight,0.125,0,657.90625,14,0,0,1,3,4,2,0,0,0,2,1,1,0,Orthodox,180.34,170,0,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,177.8,155,28,29
Hacran Dias,Andre Fili,Dan Miragliotta,10/1/2016,"Portland, Oregon, USA",Blue,FALSE,Featherweight,0.25,0.5,382.875,12,0,1,0,1,3,3,0,0,0,1,2,0,0,Orthodox,180.34,145,0,1.03125,900,18,0,1,0,2,3,3,0,0,1,2,0,0,0,Orthodox,172.72,155,26,32
John Lineker,John Dodson,John McCarthy,10/1/2016,"Portland, Oregon, USA",Red,FALSE,Bantamweight,0.66015625,0,583.296875,23,3,3,0,3,7,2,0,0,0,2,4,0,1,Orthodox,160.02,135,1.185546875,0,425.5859375,24,0,0,1,5,9,2,0,0,0,3,5,1,0,Orthodox,160.02,135,32,26
Keita Nakamura,Elizeu Zaleski dos Santos,Dave Hagen,10/1/2016,"Portland, Oregon, USA",Blue,FALSE,Welterweight,0,0,841.5,6,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,180.34,170,0.6875,0.125,729.125,17,0,0,3,1,2,4,0,0,0,0,0,2,0,Southpaw,180.34,170,29,32
Nate Marquardt,Tamdan McCrory,John McCarthy,10/1/2016,"Portland, Oregon, USA",Red,FALSE,Middleweight,0,0.5078125,396.6796875,16,0,1,0,1,4,4,0,0,0,1,1,2,0,Switch,193.04,185,0.281707764,1.0234766006469727,340.47043228149414,43,1,4,0,4,12,9,0,0,0,4,5,3,0,Orthodox,182.88,185,29,37
Cody East,Curtis Blaydes,Dave Hagen,10/1/2016,"Portland, Oregon, USA",Blue,FALSE,Heavyweight,0,0,600,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,193.04,265,0,1,258,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,190.5,245,25,28
Jonathan Wilson,Ion Cutelaba,Herb Dean,10/1/2016,"Portland, Oregon, USA",Blue,FALSE,LightHeavyweight,0,0,682,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,185.42,205,1,0,300.5,3,0,1,0,1,1,1,0,0,0,0,1,0,0,Southpaw,187.96,205,22,29
Rani Yahya,Michinori Tanaka,Fernando Portella,9/24/2016,"Brasilia, Distrito Federal, Brazil",Red,FALSE,Bantamweight,0,0,900,9,0,1,0,1,2,1,0,0,1,1,0,0,0,Orthodox,165.1,135,0,0,763.4335938,25,0,1,0,3,7,3,0,0,1,3,0,3,0,Orthodox,167.64000000000001,135,25,32
Renan Barao,Phillipe Nover,John McCarthy,9/24/2016,"Brasilia, Distrito Federal, Brazil",Red,FALSE,Featherweight,0,0,847.6875,13,1,0,3,1,1,4,0,0,1,0,0,0,0,Orthodox,175.26,145,0.172851563,0.125,901.7939453,34,6,7,0,7,8,3,0,0,0,3,2,3,0,Orthodox,167.64000000000001,145,32,29
Thiago Santos,Eric Spicely,John McCarthy,9/24/2016,"Brasilia, Distrito Federal, Brazil",Blue,FALSE,Middleweight,0,0,163,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,185,0.6015625,0.5,323.53125,12,0,0,1,4,5,3,0,0,0,1,4,0,0,Orthodox,187.96,205,29,32
Godofredo Pepey,Mike de la Torre,Mario Yamasaki,9/24/2016,"Brasilia, Distrito Federal, Brazil",Red,FALSE,Featherweight,0.125,0.25,538.8125,9,0,0,2,1,2,3,0,0,1,0,1,0,0,Orthodox,180.34,145,0.0625,0,562.625,14,1,0,1,3,4,4,0,0,1,0,1,2,0,Orthodox,170.18,145,30,29
Gilbert Burns,Michel Prazeres,Osiris Maia,9/24/2016,"Brasilia, Distrito Federal, Brazil",Blue,FALSE,Lightweight,0.0625,0,900,18,0,0,1,2,4,2,0,0,2,2,0,0,0,Orthodox,167.64000000000001,170,0,0.5,555.0625,11,0,3,0,3,4,1,0,0,0,1,0,3,0,Orthodox,177.8,170,35,30
Roy Nelson,Antonio Silva,John McCarthy,9/24/2016,"Brasilia, Distrito Federal, Brazil",Red,FALSE,Heavyweight,0.146484375,0.8671875,145.0566406,17,1,0,1,2,3,7,0,0,0,0,3,0,0,Orthodox,193.04,264,0.097198486,0.031280518,948.5168457,40,1,2,0,3,8,9,0,0,0,1,7,0,0,Orthodox,182.88,263,37,40
Francisco Trinaldo,Paul Felder,Osiris Maia,9/24/2016,"Brasilia, Distrito Federal, Brazil",Red,FALSE,Lightweight,0.03125,0.03125,869.28125,17,0,2,0,2,4,2,0,0,1,1,1,1,0,Orthodox,180.34,155,0.127197266,0.5,806.0617676,31,0,1,0,6,10,3,0,0,1,5,2,2,0,Southpaw,175.26,155,32,38
Jussier Formiga,Dustin Ortiz,Camila Albuquerque,9/24/2016,"Brasilia, Distrito Federal, Brazil",Red,FALSE,Flyweight,0,0,867.921875,21,0,1,0,2,4,3,0,0,2,0,2,0,0,Orthodox,165.1,125,0.25,0.0625,828.078125,16,0,0,1,3,4,3,0,0,0,3,0,1,0,Orthodox,165.1,125,27,31
Erick Silva,Luan Chagas,Osiris Maia,9/24/2016,"Brasilia, Distrito Federal, Brazil",Red,FALSE,Welterweight,1,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,170,0.031738281,0.5078125,489.0620117,20,0,1,0,2,6,6,0,0,0,0,2,4,0,Orthodox,182.88,170,23,32
